search_keyword,search_cnt,click_cnt,click_rate,is_typo,corrected_keyword,description,category,confidence,suggestion_synonym_mapping,suggestion_synonym_url,suggestion_related_artist_id,suggestion_related_artist_url,suggestion_related_artist_title,suggestion_related_song_id,suggestion_related_song_url,suggestion_related_song_title,suggestion_theme_keywords
이런 여유 너무 좋고,509,18,0.0354,false,,아티스트 E:um이 2026년 6월 발매한 앨범 '언제까지나'에 수록된 곡 제목이다.,음원,high,,,4830296,https://www.melon.com/artist/timeline.htm?artistId=4830296,이음(Eum),,,,
빅밸,491,0,0,false,,"음악 관련 아티스트나 곡으로 확인되지 않았으며, 검색 결과 대부분은 부동산 데이터 스타트업 '빅밸류'나 SNS 콘텐츠와 관련된 내용이었다.",기타,low,,,,,,,,,"스타트업 브랜드, 부동산 서비스, 일상 밈 키워드"
사람이 지쳤잖아,487,22,0.0452,false,,아티스트 '223.32'가 2026년 1월 발매한 곡의 제목이다.,음원,high,,,,,,,,,"감성 발라드, 위로 가사 음악, 인디 발라드 무드"
ㅇ,466,9,0.0193,false,,의미 파악이 어려운 단문/입력 오류로 추정,기타,low,,,,,,,,,
해지,451,2,0.0044,false,,멜론 이용권 등 구독 서비스의 '해지(구독 취소)' 메뉴를 가리키는 앱 기능 용어이다.,앱기능/서비스,high,,,,,,,,,"구독 관리, 이용권 해지, 고객센터 안내"
그냥기다려보는거야,447,12,0.0268,false,,"""그냥 기다려 보는거야""라는 문구/가사 형태의 검색어이나, 이에 정확히 일치하는 곡이나 아티스트를 확인할 수 없었음.",기타,low,,,,,,,,,"위로 가사, 잔잔한 발라드, 기다림 감성 음악"
먼작귀,406,4,0.0099,false,,"일본 작가 나가노의 만화 '치이카와'의 한국 내 별칭으로, 작고 귀여운 캐릭터들이 등장해 전 세계적으로 인기를 끈 캐릭터 IP를 가리킴.",밈/트렌드,high,,,,,,,,,"치이카와, 캐릭터 IP, 일본 만화, 귀여운 캐릭터"
불행했으면해,404,15,0.0371,false,,"정확히 일치하는 곡은 확인되지 않았으나, 유사한 제목의 감성 발라드 '불행했으면 좋겠어'(ByssBlue) 등과 같은 문구형 제목의 노래로 추정됨.",음원,low,,,,,,38448139,https://www.melon.com/song/detail.htm?songId=38448139,불행했으면 좋겠어 (Feat. 나의 노래 메모장),
이런여유너무좋고,387,16,0.0413,true,이런 여유 너무 좋고,,,high,,,,,,,,,
무엇이든해낼당신에게,361,0,0,true,무엇이든 해낼 당신에게,,,high,,,,,,,,,
주간인기상,356,4,0.0112,false,,"멜론에서 제공하는 '주간 인기상' 투표/차트 기능으로, 이용자들이 매주 인기곡에 투표하는 멜론 앱 내 서비스 메뉴를 가리킴.",앱기능/서비스,high,,,,,,,,,"멜론차트, 주간 인기차트, 투표 이벤트, 인기가요"
34xp,349,0,0,false,,"해외 스트리밍 플랫폼(Apple Music, Spotify 등)에서 활동 중인 팝 아티스트 34XP를 가리키며, 'THE BEACH' 등의 앨범을 발표함.",아티스트,medium,,,,,,,,,"팝, 해외팝, 인디팝, 여름팝"
zinaflow,334,0,0,false,,"감성적인 힙합/R&B 음악을 선보이는 아티스트 zinaflow를 가리키며, 스포티파이·애플뮤직 등에서 'Sweet Trick' 등의 곡을 발표하며 활동 중.",아티스트,medium,,,,,,,,,"감성힙합, 무드 알앤비, 해외 인디, 칠 R&B"
호랑이기세,333,10,0.03,true,호랑이 기세,,,medium,,,,,,,,,
인생은 서툰 여행이래,321,0,0,false,,"2026년 발매된 아티스트 HELLOPING의 노래 제목으로, 인생을 서툰 여행에 비유한 감성적인 가사가 특징인 곡.",음원,high,,,,,,,,,"감성 발라드, 위로송, 잔잔한 발라드, 인생 노래"
biig,312,2,0.0064,true,Biig Piig,,,medium,,,,,,,,,
로린디엘,292,0,0,false,,"AI 보컬 및 버추얼 그래픽 기술로 만들어진 가상 아티스트 '로린디엘(Lorindiel)'로, 한국어 발라드 곡을 중심으로 활동하는 AI 가수.",아티스트,high,,,,,,,,,"AI가수, 버추얼 아티스트, 한국어 발라드, AI보컬"
이런여유,287,8,0.0279,true,이런 여유 너무 좋고,,,medium,,,,,,,,,
음만노,284,0,0,false,,"의미가 명확하지 않은 축약어 또는 신조어로 추정되며, 구체적으로 어떤 대상을 가리키는지 검색으로 특정하기 어려움.",기타,low,,,,,,,,,"신조어, 인터넷 밈, 축약어, SNS 용어"
mellozen,284,0,0,false,,"애플뮤직에 아티스트 페이지가 있는 뮤지션 'Melozen'을 가리키며, 'Thoughts Of The Bass' 등의 곡을 발표함.",아티스트,medium,,,,,,,,,"일렉트로닉, 베이스뮤직, 인스트루멘탈, 해외 일렉"
퍼피구조대,283,0,0,false,,"퍼피구조대는 애니메이션 시리즈 'PAW Patrol'의 한국어 제목으로, 극장판에는 크리스티나 아길레라가 부른 삽입곡 등 OST가 존재하지만 본질적으로는 음악과 무관한 키즈 콘텐츠 프랜차이즈입니다.",지식,high,,,2063,https://www.melon.com/artist/timeline.htm?artistId=2063,Christina Aguilera,,,,
summer session,279,12,0.043,false,,"'summer session'이라는 제목으로 명확히 특정되는 단일 곡, 아티스트, 행사를 확인하지 못했으며, 여름 시즌 관련 일반적인 표현이나 플레이리스트명일 가능성이 있습니다.",기타,low,,,,,,,,,"여름 플레이리스트, 서머 무드, 드라이브 음악, 여름 감성"
투표,272,3,0.011,false,,투표는 멜론 앱에서 음악방송 순위나 각종 인기투표에 참여할 수 있는 서비스 메뉴입니다.,앱기능/서비스,high,,,,,,,,,"음악방송 투표, 팬덤 투표, 차트 이벤트, 아이돌 순위"
내정보,269,1,0.0037,false,,내정보는 멜론 앱의 마이페이지에서 이용권 및 결제 내역 등 개인 정보를 확인하는 메뉴입니다.,앱기능/서비스,high,,,,,,,,,"마이페이지, 이용권 관리, 결제내역, 계정관리"
ㅅ,258,0,0,false,,의미 파악이 어려운 단문/입력 오류로 추정,기타,low,,,,,,,,,
녹는가슴,258,1,0.0039,false,,"'녹는가슴'이라는 제목의 곡이나 콘텐츠를 검색으로 확인하지 못했으며, 잘 알려지지 않은 곡이거나 가사 일부일 가능성이 있습니다.",기타,low,,,,,,,,,"이별 발라드, 감성 가사, 마이너곡, 숨은명곡"
비행정,258,2,0.0078,false,,"비행정은 일본 밴드 King Gnu의 곡 '飛行艇(히코테이)'를 한국어로 번역한 제목으로, 팬들 사이에서 통용되는 표현입니다.",음원,medium,,,,,,,,,"일본밴드, 시티팝, 재패니즈 록, 밴드사운드"
a20,257,10,0.0389,false,,"a20은 스포티파이 등에 소수의 트랙을 보유한 소규모 아티스트이거나, 발음이 유사한 국내 기획사 'A2O 엔터테인먼트'를 지칭했을 가능성이 있습니다.",아티스트,low,,,,,,,,,"인디 일렉트로닉, 글로벌 신인 아티스트, 국내 기획사 브랜드"
인생은 서툰,256,5,0.0195,false,,'인생은 서툰'은 AI 기반 음악 아티스트 헬로핑(HELLOPING)이 발표한 곡 '인생은 서툰 여행이래'의 제목 일부로 추정됩니다.,음원,medium,,,,,,,,,"AI 음악, 인생 여행 감성, 위로 발라드, 힐링 가사"
꺼져 제발,247,5,0.0202,false,,"정확히 일치하는 단일 곡은 확인되지 않았으나, 캔의 '꺼져!', 기리보이의 '꺼져', '제발 꺼져줄래' 등 유사한 제목의 곡들이 존재해 이별 감성의 노래 제목이나 가사로 추정됩니다.",음원,medium,,,,,,,,,"이별 감성, 화난 감정 표현 노래, 홧김 이별송, 힙합/발라드 크로스오버"
germinie,246,0,0,false,,"germinie는 2026년 활동 중인 AI 기반 음악 아티스트/프로듀서로, 스포티파이에서 약 14만 명의 월간 청취자를 보유하고 있습니다.",아티스트,high,,,,,,,,,"글로벌 AI 아티스트, 일렉트로닉 프로듀서, 인디 무드 음악, 버추얼 뮤지션"
헬로핑,242,12,0.0496,false,,"헬로핑(HELLOPING)은 AI 작곡·보컬 기반의 음악 아티스트로, 유튜브, 틱톡, 스포티파이 등 여러 플랫폼에서 활동 중입니다.",아티스트,high,,,,,,,,,"AI 음악, 버추얼 아티스트, AI 보컬 콘텐츠, 멀티플랫폼 크리에이터"
이승기 비밀,236,3,0.0127,false,,"이승기는 실존하는 가수 겸 배우이나, '비밀'이라는 제목의 곡은 그의 음반 목록에서 명확히 확인되지 않아 관련 콘텐츠의 일부를 지칭했을 가능성이 있습니다.",아티스트,medium,,,,,,,,,"발라드, 감성 발라드, 드라마 OST, 2000년대 가요"
무엇이든해낼,224,6,0.0268,false,,"정확히 일치하는 곡이나 콘텐츠를 확인하지 못했으며, '무엇이든 해낼 수 있다'는 동요 가사나 동명의 에세이 책과 유사한 표현으로 추정됩니다.",기타,low,,,,,,,,,"동요, 자기계발 문구, 응원 메시지, 동기부여"
고래보석,222,6,0.027,false,,"고래보석은 2026년 개봉한 애니메이션 '사랑의 하츄핑: 고래보석의 전설'을 가리키며, OST '처음이라서'는 NCT WISH의 재희와 Hearts2Hearts의 유하가 함께 불렀습니다.",음원,high,,,,,,,,,"애니메이션 OST, 듀엣곡, K-pop 콜라보, 설레는 사랑 노래"
꺼져제발,220,4,0.0182,false,,"특정 음원이나 아티스트로 특정되지 않는 일반적인 분노/짜증 표현 문구로 보이며, 검색 의도를 명확히 파악하기 어려움.",기타,low,,,,,,,,,"분노 감정 표현, 홧김송, 스트레스 해소 노래, 이별 욕설 가사"
차쿤 에네스,212,0,0,false,,인터넷 가수 차쿤과 에네스가 함께 부른 '눈물'이라는 곡의 아티스트 조합으로 알려져 있음.,아티스트,medium,,,,,,32154588,https://www.melon.com/song/detail.htm?songId=32154588,눈물 2019,
빅뱡,210,0,0,true,빅뱅,,,high,,,,,,,,,
이런게행복이지뭐,210,10,0.0476,false,,"""행복 뭐 별거 있냐, 이게 행복이지""라는 문구는 SNS(틱톡, 인스타그램 등)에서 유행하는 밈성 캐치프레이즈로, 특정 음원을 가리키지는 않는 것으로 보임.",밈/트렌드,medium,,,,,,,,,"SNS 밈 문구, 일상 행복 감성, 힐링 무드, 잔잔한 감성곡"
paul velchev,209,0,0,false,,Paul Velchev는 Spotify 등에서 활동하는 일렉트로닉/트랩 장르의 해외 음악가로 다수의 싱글을 발매하고 있음.,아티스트,high,,,,,,,,,"일렉트로닉, 트랩, 해외 인디음악, 글로벌 프로듀서"
anoufie,207,0,0,false,,"anoufie는 벨라루스 민스크를 기반으로 활동하는 피아노 연주 중심의 해외 아티스트로, 'Noir' 등의 곡을 발매함.",아티스트,high,,,,,,,,,"피아노 연주곡, 인스트루멘탈, 해외 인디 피아니스트, 감성 피아노"
씨앤블루,202,10,0.0495,true,씨엔블루,,,high,,,,,,,,,
국민딴따라,200,4,0.02,false,,"'딴따라'는 연예인을 뜻하는 말로, '국민딴따라'는 만능 엔터테이너를 지칭하는 표현으로 보이나 특정 가수나 곡으로 특정되지는 않음.",기타,low,,,,,,,,,"만능 엔터테이너, 종합 예능인, 국민 스타, 다재다능 아티스트"
난홍,200,7,0.035,false,,"'난홍(难哄)'은 중국 작가 주이(竹已)의 소설을 원작으로 한 중국 드라마 제목으로, 음악과 직접적인 관련은 없음.",지식,medium,,,,,,,,,"중국 드라마 OST, 중드 사운드트랙, 로맨스 드라마 음악, 중화풍 감성"
big,199,9,0.0452,false,,2026년 8월 빅뱅(BIGBANG)이 발매한 신곡/앨범 'BiiiG'를 검색한 것으로 추정됨.,음원,medium,,,,,,,,,"빅뱅 신곡, 케이팝 컴백, 여름 앨범, 남성 아이돌 그룹"
스디파,198,0,0,false,,'스디파'는 Mnet에서 방영 중인 댄스 서바이벌 프로그램 '스트릿 파이터: 디렉터스 워'의 줄임말로 최근 화제가 되고 있는 예능 프로그램임.,밈/트렌드,high,,,,,,,,,"댄스 서바이벌, 예능 프로그램, 스트릿 댄스, 경연 콘텐츠"
이용권,197,2,0.0102,false,,'이용권'은 멜론 등 음악 스트리밍 서비스의 정기 결제/구독 상품을 가리키는 앱 내 용어임.,앱기능/서비스,high,,,,,,,,,"구독 서비스, 이용권 안내, 스트리밍 멤버십, 정기결제 상품"
노스텔지아 빅나티,195,0,0,false,,"래퍼 빅나티(BIG Naughty)의 미공개곡 '노스텔지아(Nostalgia)'를 가리키며, 팬들 사이에서 정식 발매를 기대하는 곡으로 알려져 있음.",음원,high,,,,,,,,,"언더그라운드 힙합, 미공개곡, 래퍼 신곡, 힙합 팬덤"
지나간시간보다,195,4,0.0205,false,,"들국화(전인권)의 '걱정말아요 그대' 가사 중 '지나간 것은 지나간 대로'와 유사한 문구로, 노래 가사 일부를 검색한 것으로 추정되나 정확히 일치하지는 않음.",음원,low,,,,,,622705,https://www.melon.com/song/detail.htm?songId=622705,걱정말아요 그대 ('응답하라 1988' 삽입곡),
ㅈ,191,6,0.0314,false,,의미 파악이 어려운 단문/입력 오류로 추정,기타,low,,,,,,,,,
맛뮤직,188,1,0.0053,false,,"감성 힙합/발라드풍 가사 콘텐츠를 다루는 유튜브 음악 채널 '맛뮤직(FLAVOR MUSIC)'을 가리키는 것으로 보이며, 멜론 내 특정 음원/아티스트와는 직접 매칭되지 않는다.",기타,medium,,,,,,,,,"감성 힙합, 감성 발라드, 가사 콘텐츠, 무드 플레이리스트"
좋아 좋아,187,9,0.0481,false,,"동명의 곡이 여러 개 존재하며, 1996년 일기예보가 발표해 큰 인기를 끈 '좋아 좋아'가 가장 대표적이고 현숙 등도 같은 제목의 곡을 발표했다.",음원,medium,,,100141,https://www.melon.com/artist/timeline.htm?artistId=100141,일기예보,71032,https://www.melon.com/song/detail.htm?songId=71032,좋아 좋아,
행복이 그거래요,185,0,0,false,,'좋아하는 사람이랑 낭비한 시간들'이라는 문구와 함께 인스타그램 릴스·유튜브 쇼츠·틱톡 등에서 추억/여행 영상에 쓰이는 유행 문구(템플릿)이다.,밈/트렌드,high,,,,,,,,,"여행 브이로그, 추억 회상 감성, 감성 문구 밈, 숏폼 트렌드"
차쿤에네스,183,0,0,false,,"차쿤(브레이브걸스 '롤린' 작곡 참여로 알려진 프로듀서)과 에네스로 구성된 아티스트 듀오로, 멜론에도 아티스트 페이지가 있으며 '눈물'이라는 곡으로 알려져 있다.",아티스트,high,,,,,,32154588,https://www.melon.com/song/detail.htm?songId=32154588,눈물 2019,
볼빨간,169,8,0.0473,true,볼빨간사춘기,,,high,,,,,,,,,
jerome timu,163,0,0,false,,"스포티파이·애플뮤직 등에서 활동하는 실제 뮤지션으로, 'Always Will', 'Green notes' 등의 곡을 발표한 아티스트이다.",아티스트,high,,,,,,,,,"글로벌 인디음악, 해외 신인 아티스트, 인디 팝, 스트리밍 인기곡"
이,162,7,0.0432,false,,의미 파악이 어려운 단문/입력 오류로 추정,기타,low,,,,,,,,,
투이드,157,1,0.0064,false,,"하이브 산하 레이블 ABD가 2026년 8월 데뷔시킨 다국적 신인 걸그룹 '투이드(TUIDE)'를 가리키며, 데뷔 EP 'Tune & Play'를 발매했다.",아티스트,high,,,,,,,,,"신인 걸그룹, 다국적 아이돌, 데뷔 앨범, 하이브 레이블"
비밀 이승기,157,3,0.0191,false,,"이승기는 발라드 히트곡을 다수 보유한 유명 가수 겸 배우이나, '비밀'이라는 제목의 곡이나 대표 작품은 확인되지 않아 정확한 검색 의도는 불분명하다.",아티스트,low,,,58793,https://www.melon.com/artist/timeline.htm?artistId=58793,이승기,,,,
lovixx,156,0,0,false,,클라우드랩/힙합 장르로 활동하며 스포티파이 등에서 수백만 청취자를 보유한 아티스트 LOVIXX를 가리킨다.,아티스트,high,,,,,,,,,"클라우드랩, 해외 힙합, 인디 힙합, 글로벌 스트리밍 아티스트"
yararara,155,6,0.0387,false,,"보컬로이드 곡 'ヤラララ(YARARARA)'로, AnythingBecomeMoe가 카사네 테토(Kasane Teto) 보컬로 발표한 곡이다.",음원,medium,,,,,,,,,"보컬로이드, 일본 니코니코 음악, 카사네 테토, 보카로 커버곡"
인생은서툰여행이래,154,0,0,false,,"HELLOPING이 발표한 동명의 싱글 곡이며, 틱톡·유튜브 쇼츠 등에서 관련 영상 템플릿으로도 유행했다.",음원,medium,,,,,,,,,"숏폼 트렌드 음악, 감성 인디팝, 여행 감성 가사, 인생 명언 콘텐츠"
son lux dream state,150,2,0.0133,false,,미국 아티스트 Son Lux가 2018년 앨범 'Brighter Wounds'의 첫 싱글로 발표한 곡 'Dream State'를 가리킨다.,음원,high,,,,,,,,,"인디 포크팝, 미국 인디음악, 일렉트로닉 밴드, 드림팝"
사람이지쳤잖아,146,4,0.0274,false,,"2026년 발표된 동명의 싱글 곡으로, 아티스트 '223.32' 명의로 스포티파이 등에 공개되었다.",음원,medium,,,,,,,,,"감성 발라드, 위로 메시지 곡, 인디 싱어송라이터, 신곡 발매"
",",142,4,0.0282,false,,의미 파악이 어려운 단문/입력 오류로 추정,기타,low,,,,,,,,,
쿠팡,140,1,0.0071,false,,"쿠팡은 국내 대표 이커머스(전자상거래) 플랫폼으로, 음악과 직접적인 관련이 없는 쇼핑 서비스입니다.",지식,high,,,,,,,,,"쇼핑 콘텐츠 음악, 생활 브이로그 BGM, 브랜드 밈, 일상 콘텐츠"
조춘청랑,139,0,0,false,,"정백연, 손천이 주연을 맡은 2026년 중국 오피스 로맨스 드라마로, 넷플릭스와 유쿠에서 공개되었습니다.",지식,medium,,,,,,,,,"중국 드라마 OST, 로맨스 드라마 음악, 넷플릭스 인기작 OST, 드라마 감성곡"
허걱,139,2,0.0144,false,,"'허걱'은 놀라거나 당황했을 때 내는 감탄사로, 온라인에서 널리 쓰이는 밈 성격의 표현입니다.",밈/트렌드,high,,,,,,,,,"감탄사 밈, 리액션 밈, 온라인 유행어, 예능 자막 밈"
니썬뮤직,138,3,0.0217,false,,"니썬뮤직(Nisun Music)은 '한마디', '슬프지 않아', '바람' 등의 곡을 음원 플랫폼에 발표한 인디 음악 아티스트입니다.",아티스트,medium,,,,,,,,,"인디 음악, 감성 발라드, 싱어송라이터, 국내 인디 아티스트"
방금 그 노래,136,0,0,false,,"멜론의 '방금그곡' 기능을 가리키는 표현으로, TV·라디오에서 방금 나온 곡을 실시간으로 찾아주는 서비스 메뉴입니다.",앱기능/서비스,high,,,,,,,,,"실시간 음원 인식, 방송 삽입곡, TV·라디오 음악 정보, 즉석 곡 검색"
kelly is green,135,0,0,false,,"Kelly is Green은 'SO BAD', '365', 'Colorfully You' 등을 발표한 해외 인디 음악 아티스트입니다.",아티스트,medium,,,,,,,,,"해외 인디팝, 베드룸 팝, 글로벌 신인 아티스트, 감성 인디음악"
빅벵,134,0,0,true,빅뱅,,,high,,,,,,,,,
왜내가챙피해,134,0,0,true,왜 내가 창피해,,,medium,,,,,,,,,
빅나티 노스텔지아,132,0,0,false,,"래퍼 빅나티(BIG Naughty)의 미공개곡 '노스텔지아(Nostalgia)'를 가리키며, 팬들 사이에서 회자되는 곡입니다.",음원,medium,,,2744750,https://www.melon.com/artist/timeline.htm?artistId=2744750,BIG Naughty (서동현),,,,
ㅣ,132,5,0.0379,false,,의미 파악이 어려운 단문/입력 오류로 추정,기타,low,,,,,,,,,
이용권해지,131,0,0,false,,멜론 이용권(구독) 해지를 의미하는 앱 서비스 관련 메뉴 검색어입니다.,앱기능/서비스,high,,,,,,,,,"구독 해지 안내, 이용권 관리, 멤버십 서비스, 고객센터 문의"
파데코,131,0,0,true,파테코(PATEKO),,,medium,,,,,,,,,
갬작,131,3,0.0229,false,,"명확한 의미를 특정하기 어려운 신조어 또는 입력 오류로 추정되며, 관련된 아티스트나 곡을 찾을 수 없었습니다.",기타,low,,,,,,,,,"신조어, 인터넷 밈, 정체불명 검색어, 온라인 유행어"
국어 별동대,130,0,0,false,,고고프렌즈(GOGO FRIENDS)가 국어 학습 콘텐츠를 바탕으로 발표한 노래 '국어별동대'를 가리킵니다.,음원,medium,,,,,,,,,"어린이 학습동요, 국어 교육 콘텐츠, 키즈 음악, 교육용 송"
ㅁ,130,6,0.0462,false,,의미 파악이 어려운 단문/입력 오류로 추정,기타,low,,,,,,,,,
reyvi,128,0,0,false,,"Spotify, Apple Music 등에 곡을 유통하는 실제 음악 아티스트 ReyVi로, 'Miss You My Love' 등의 싱글을 발표했다.",아티스트,medium,,,,,,,,,"글로벌 인디팝, 신인 아티스트, 감성 팝, 인디 싱어송라이터"
파자마파티즈,125,0,0,false,,"'먼작귀(치이카와)' 세계관에 등장하는 캐릭터 그룹으로, 실제 발매곡 '파자마 파티즈의 노래'가 SNS에서 화제가 되었다.",아티스트,medium,,,,,,,,,"캐릭터송, 밈 콘텐츠, 먼작귀/치이카와, SNS 화제곡"
서핑보이,125,3,0.024,false,,레드벨벳이 2026년 여름 컴백곡으로 발표한 'Surfin' Boy'를 한글로 표기한 검색어다.,음원,high,,,780066,https://www.melon.com/artist/timeline.htm?artistId=780066,Red Velvet (레드벨벳),602929929,https://www.melon.com/song/detail.htm?songId=602929929,Surfin' Boy (Flamingosis Remix),
래몬탱,124,0,0,true,레몬탱 (Lemon Tang) - 하츠투하츠,,,high,,,,,,,,,
박뱅,124,3,0.0242,true,빅뱅 (BIGBANG),,,high,,,,,,,,,
그냥 기다려,122,1,0.0082,false,,"'기다려' 계열 곡(아이유, 김광석 등)이나 관련 밈은 다수 존재하나, 이 문구 자체를 특정 곡·트렌드로 단정할 근거는 찾지 못했다.",기타,low,,,,,,,,,"기다림 발라드, 감성 발라드, 인디 발라드, 유행 문구 밈"
빅쟁,121,0,0,true,빅뱅 (BIGBANG),,,medium,,,,,,,,,
캐시충전,121,0,0,false,,멜론 앱 내에서 이용권 결제 등에 쓰이는 '캐시'를 충전하는 기능/메뉴를 가리키는 용어다.,앱기능/서비스,high,,,,,,,,,"멜론 캐시, 이용권 결제, 앱 충전 기능"
발랃,118,0,0,true,발라드 (ballad),,,medium,,,,,,,,,
치하,117,0,0,false,,"'치하: 끝나지 않는 여름'은 2026년 후난위성TV에서 방영된 중국 드라마 제목으로, 음악 아티스트가 아닌 드라마 콘텐츠를 가리킨다.",지식,medium,,,,,,,,,"중국 드라마 OST, 여름 드라마, 후난위성TV 콘텐츠, 드라마 명대사"
uyoung wave,116,0,0,false,,UYoung Wave(유영웨이브)는 Spotify·Apple Music에 다수의 앨범을 발매한 로파이/플레이리스트형 음악 프로젝트다.,아티스트,medium,,,,,,,,,"로파이 플레이리스트, 칠 무드, 인디 일렉트로닉, 글로벌 인디음악"
삼일후,115,1,0.0087,false,,"특정 곡, 아티스트, 트렌드로 명확히 특정되는 근거를 찾지 못한 일반적인 문구다.",기타,low,,,,,,,,,"감성 발라드, 이별 노래, 일상 에세이 문구"
캐시,115,3,0.0261,false,,멜론 앱에서 이용권 결제 등에 사용되는 충전형 포인트 '캐시' 기능을 가리키는 용어다.,앱기능/서비스,high,,,,,,,,,"멜론 캐시, 이용권 결제, 포인트 충전"
조선딴따라,114,0,0,false,,"'딴따라'는 연예인·악사를 낮잡아 이르던 전통적 표현이나, '조선딴따라'라는 특정 곡·아티스트·콘텐츠는 확인되지 않았다.",기타,low,,,,,,,,,"복고 컨셉, 국악 밈, 트로트 유행어, 전통 풍자 표현"
music wave,114,0,0,false,,멜론이 운영하는 실시간 음악 감상·채팅 서비스 'MUSIC WAVE(뮤직웨이브)'를 가리키는 검색어다.,앱기능/서비스,high,,,,,,,,,"실시간 음악 감상, 라이브 채팅, 멜론 뮤직웨이브"
better days soonflow,112,0,0,false,,"""Better Days""는 아티스트 soonflow가 발매한 곡으로, Spotify 등 스트리밍 플랫폼에 곡 제목과 아티스트명이 함께 등록되어 있다.",음원,high,,,,,,,,,"로파이 인디팝, 베드룸팝, 저녁 감성 팝, 인디 싱어송라이터"
8월의여름,112,2,0.0179,false,,"정확히 일치하는 곡은 확인되지 않았으나, 인디 아티스트 힌밍이 매달 ""OO월의 여름"" 형식으로 계절 싱글을 발매해온 정황이 있어 동일 포맷의 8월 시즌 신곡일 가능성이 있다.",음원,low,,,,,,,,,"계절 감성 인디, 여름 시즌송, 월간 싱글 프로젝트, 인디 어쿠스틱"
ej,111,0,0,false,,"K-pop 보이그룹 &TEAM의 리더 겸 래퍼/보컬 멤버의 활동명 ""EJ""를 가리키는 것으로 보이나, 검색어가 짧아 EJAE, EJ Jones 등 동명의 다른 아티스트와 혼동될 가능성도 있다.",아티스트,medium,,,1458723,https://www.melon.com/artist/timeline.htm?artistId=1458723,EJAE,,,,
긍정의 사고,111,1,0.009,false,,"특정 곡이나 아티스트가 아니라 ""원영적 사고"" 등과 유사하게 유행한 긍정적 마인드셋을 뜻하는 신조어/밈 계열 표현으로 보인다.",밈/트렌드,medium,,,,,,,,,"긍정 마인드셋 밈, 신조어, 자기계발 유행어, SNS 챌린지"
